iter	Logloss
0	0.6427664331
1	0.5954088116
2	0.5493827523
3	0.5037101622
4	0.4690652828
5	0.4327011592
6	0.4007635017
7	0.3689381258
8	0.3394817029
9	0.3128000842
10	0.2867739056
11	0.2658789352
12	0.2435928775
13	0.226720834
14	0.2081292155
15	0.1931071533
16	0.1788402917
17	0.1664367007
18	0.1559071133
19	0.1447420975
20	0.1347500547
21	0.1257539692
22	0.1178568556
23	0.1094595753
24	0.1023785763
25	0.09531205345
26	0.08946643272
27	0.08416792663
28	0.07882346534
29	0.07399324124
30	0.06963942929
31	0.06510521536
32	0.0613337846
33	0.05762339404
34	0.05467994429
35	0.05137740244
36	0.04847492181
37	0.0456788566
38	0.04294717209
39	0.04066970582
40	0.03859718061
41	0.03625657844
42	0.03413471325
43	0.03210072647
44	0.03032089506
45	0.02851591237
46	0.02683967287
47	0.02542617348
48	0.02412540813
49	0.0229614734
50	0.02161835228
51	0.02045705643
52	0.0195004339
53	0.01849673057
54	0.01767302953
55	0.01688664505
56	0.01595243095
57	0.01523667419
58	0.01456966108
59	0.01399511548
60	0.01336675664
61	0.0128568335
62	0.01229176774
63	0.01168861789
64	0.01115861835
65	0.01070898566
66	0.01027769405
67	0.009906157655
68	0.009519449131
69	0.00912282331
70	0.008767271755
71	0.00848711735
72	0.00821157004
73	0.007948283897
74	0.007724626241
75	0.007455520036
76	0.00719622125
77	0.00694028771
78	0.006685649377
79	0.006481068675
80	0.006217058653
81	0.005969114616
82	0.005762469831
83	0.005582572276
84	0.005401625128
85	0.005269591483
86	0.005122658648
87	0.004976826706
88	0.004839891389
89	0.004705472659
90	0.004580675366
91	0.004469722323
92	0.004312067012
93	0.004180809825
94	0.004049273051
95	0.003948273766
96	0.003852768299
97	0.003747937135
98	0.003658814101
99	0.003561455106
100	0.003457062188
101	0.003373765228
102	0.00328159647
103	0.003204088945
104	0.003136816425
105	0.003072784379
106	0.002984227395
107	0.002909788041
108	0.002852635541
109	0.00278313133
110	0.002730241568
111	0.002661829149
112	0.002604373945
113	0.002555939772
114	0.002502038471
115	0.002442073225
116	0.002355501305
117	0.002310158143
118	0.002259806115
119	0.002223638585
120	0.002188091707
121	0.002132196258
122	0.002078460732
123	0.002044706095
124	0.002009326905
125	0.001969445744
126	0.001926342534
127	0.001889373606
128	0.001855732155
129	0.001828296033
130	0.001803164884
131	0.001773946966
132	0.001739305353
133	0.001708189236
134	0.001671399821
135	0.001654106335
136	0.001629841158
137	0.001599725908
138	0.001564383349
139	0.001537121122
140	0.00151354831
141	0.001489612244
142	0.001464995153
143	0.001439258996
144	0.001410627395
145	0.00139060712
146	0.001371043257
147	0.001340111674
148	0.001315731136
149	0.001297329686
150	0.001281066675
151	0.001259292547
152	0.001229424907
153	0.001217363474
154	0.001204208003
155	0.001174254421
156	0.001160108154
157	0.001133177557
158	0.001121470147
159	0.001106890219
160	0.001093888926
161	0.001079563565
162	0.001065681187
163	0.001054813904
164	0.001035825798
165	0.001017929407
166	0.001005256981
167	0.000996184683
168	0.0009801197411
169	0.0009650311887
170	0.0009528959638
171	0.0009434133502
172	0.000930828941
173	0.0009242803588
174	0.0009123007126
175	0.0009010646534
176	0.0008933438189
177	0.0008806718156
178	0.0008730816199
179	0.0008657423123
180	0.0008567233066
181	0.0008419982263
182	0.0008308008858
183	0.0008237223047
184	0.0008144625813
185	0.0008071104817
186	0.0007959852968
187	0.0007893548795
188	0.0007781770229
189	0.0007703853341
190	0.0007629192817
191	0.0007537149368
192	0.0007454839711
193	0.0007379928458
194	0.0007306000245
195	0.0007223494384
196	0.000713815607
